entity,code,year,region
Afghanistan,AFG,2023,"Middle East, North Africa, Afghanistan and Pakistan"
Aland Islands,ALA,2023,Europe and Central Asia
Albania,ALB,2023,Europe and Central Asia
Algeria,DZA,2023,"Middle East, North Africa, Afghanistan and Pakistan"
American Samoa,ASM,2023,East Asia and Pacific
Andorra,AND,2023,Europe and Central Asia
Angola,AGO,2023,Sub-Saharan Africa
Anguilla,AIA,2023,Europe and Central Asia
Antigua and Barbuda,ATG,2023,Latin America and Caribbean
Argentina,ARG,2023,Latin America and Caribbean
Armenia,ARM,2023,Europe and Central Asia
Aruba,ABW,2023,Latin America and Caribbean
Australia,AUS,2023,East Asia and Pacific
Austria,AUT,2023,Europe and Central Asia
Austria-Hungary,OWID_AUH,2023,Europe and Central Asia
Azerbaijan,AZE,2023,Europe and Central Asia
Bahamas,BHS,2023,Latin America and Caribbean
Bahrain,BHR,2023,"Middle East, North Africa, Afghanistan and Pakistan"
Bangladesh,BGD,2023,South Asia
Barbados,BRB,2023,Latin America and Caribbean
Belarus,BLR,2023,Europe and Central Asia
Belgium,BEL,2023,Europe and Central Asia
Belize,BLZ,2023,Latin America and Caribbean
Benin,BEN,2023,Sub-Saharan Africa
Bermuda,BMU,2023,North America
Bhutan,BTN,2023,South Asia
Bolivia,BOL,2023,Latin America and Caribbean
Bonaire Sint Eustatius and Saba,BES,2023,Europe and Central Asia
Bosnia and Herzegovina,BIH,2023,Europe and Central Asia
Botswana,BWA,2023,Sub-Saharan Africa
Brazil,BRA,2023,Latin America and Caribbean
British Indian Ocean Territory,IOT,2023,South Asia
British Virgin Islands,VGB,2023,Latin America and Caribbean
Brunei,BRN,2023,East Asia and Pacific
Bulgaria,BGR,2023,Europe and Central Asia
Burkina Faso,BFA,2023,Sub-Saharan Africa
Burundi,BDI,2023,Sub-Saharan Africa
Cambodia,KHM,2023,East Asia and Pacific
Cameroon,CMR,2023,Sub-Saharan Africa
Canada,CAN,2023,North America
Cape Verde,CPV,2023,Sub-Saharan Africa
Cayman Islands,CYM,2023,Latin America and Caribbean
Central African Republic,CAF,2023,Sub-Saharan Africa
Chad,TCD,2023,Sub-Saharan Africa
Chile,CHL,2023,Latin America and Caribbean
China,CHN,2023,East Asia and Pacific
Christmas Island,CXR,2023,East Asia and Pacific
Cocos Islands,CCK,2023,East Asia and Pacific
Colombia,COL,2023,Latin America and Caribbean
Comoros,COM,2023,Sub-Saharan Africa
Congo,COG,2023,Sub-Saharan Africa
Cook Islands,COK,2023,East Asia and Pacific
Costa Rica,CRI,2023,Latin America and Caribbean
Cote d'Ivoire,CIV,2023,Sub-Saharan Africa
Croatia,HRV,2023,Europe and Central Asia
